REPO_PATH: code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv
FILE_NAME: antiplatelet_dmd.csv

CONTENT_START
dmd_code,term
16072911000001108,Clopidogrel (as clopidogrel hydrogen sulfate) 5 mg/ml oral suspension
16087111000001100,Clopidogrel 11mg oral powder sachets 1 sachet (product)
16087211000001106,Clopidogrel 11mg oral powder sachets (Special Order) (product)
16087311000001103,Clopidogrel 11mg oral powder sachets (Special Order) 1 sachet (product)
16089411000001101,Clopidogrel (as clopidogrel hydrogen sulfate) 11 mg oral powder 1 sachet sachet
16113411000001106,Grepid 75mg tablets (Kent Pharma (UK) Ltd) 28 tablet 2 x 14 tablets
1612811000001103,Aspirin 75mg dispersible tablets (Aspar Pharmaceuticals Ltd) 32 tablet (product)
1612911000001108,Aspirin 75mg dispersible tablets (Aspar Pharmaceuticals Ltd) 100 tablet (product)
1613411000001109,Pyridantin 25mg tablets (Dr Reddy's Labs) 100 tablet (product)
1613511000001108,Pyridantin 100mg tablets (Dr Reddy's Labs) 100 tablet (product)
16247711000001100,Clopidogrel 75mg tablets (Viatris UK Healthcare Ltd)
16247811000001108,Clopidogrel 75mg tablets (Viatris UK Healthcare Ltd) 30 tablet 3 x 10 tablets
163411000001106,Aspirin 75mg dispersible tablets (IVAX Pharmaceuticals UK Ltd) (product)
16431611000001103,Aspirin 75mg gastro-resistant tablets (Wockhardt UK Ltd) (product)
16431711000001107,Aspirin 75mg gastro-resistant tablets (Wockhardt UK Ltd) 28 tablet 2 x 14 tablets (product)
16437611000001107,Aspirin 75mg gastro-resistant tablets (Wockhardt UK Ltd) 56 tablet 2 x 28 tablets (product)
16441211000001101,Clopidogrel 75mg tablets (Actavis UK Ltd) 28 tablet 2 x 14 tablets (product)
16508911000001104,Clopidogrel 75mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16509111000001109,Clopidogrel 75mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
1655911000001107,Caprin 300mg gastro-resistant tablets (Pinewood Healthcare) 30 tablet (product)
1656011000001104,Caprin 300mg gastro-resistant tablets (Pinewood Healthcare) 100 tablet (product)
1656111000001103,Caprin 300mg gastro-resistant tablets (Pinewood Healthcare) 500 tablet (product)
1656211000001109,Caprin 300mg gastro-resistant tablets (Pinewood Healthcare) 1000 tablet (product)
1659511000001102,Angettes 75 tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 28 tablet 2 x 14 tablets (product)
1660011000001106,Aspirin 75mg gastro-resistant tablets (A A H Pharmaceuticals Ltd) 28 tablet (product)
1660111000001107,Aspirin 75mg gastro-resistant tablets (A A H Pharmaceuticals Ltd) 56 tablet (product)
1660511000001103,Aspirin 75mg gastro-resistant tablets (Alpharma Limited) 28 tablet 2 x 14 tablets (product)
1660711000001108,Aspirin 75mg gastro-resistant tablets (Alpharma Limited) 56 tablet 4 x 14 tablets (product)
1661611000001109,Aspirin 75mg gastro-resistant tablets (Approved Prescription Services) 28 tablet (product)
1661711000001100,Aspirin 75mg gastro-resistant tablets (Approved Prescription Services) 56 tablet 4 x 14 tablets (product)
1662311000001108,PostMI 75 EC tablets (Ashbourne Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets (product)
1662511000001102,Aspirin 75mg gastro-resistant tablets (C P Pharmaceuticals Ltd) 56 tablet 4 x 14 tablets (product)
1662811000001104,Micropirin 75mg gastro-resistant tablets (Dexcel Pharma Ltd) 56 tablet 8 x 7 tablets (product)
1663011000001101,Enprin 75mg gastro-resistant tablets (GalPharm International Ltd) 16 tablet (product)
1663311000001103,Enprin 75mg gastro-resistant tablets (GalPharm International Ltd) 28 tablet (product)
1663411000001105,Enprin 75mg gastro-resistant tablets (GalPharm International Ltd) 56 tablet 2 x 28 tablets (product)
1663511000001109,Aspirin 75mg gastro-resistant tablets (Viatris UK Healthcare Ltd) 56 tablet
