REPO_PATH: code_lists/medications/diabetes/insulin_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/diabetes/insulin_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/diabetes/insulin_dmd.csv
FILE_NAME: insulin_dmd.csv

CONTENT_START
dmd_code,term,drug_substance
11124511000001100,Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc) 5 pre-filled disposable injection,Mix insulin
11124611000001101,Mixtard 20 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) (product),Mix insulin
11124911000001107,Mixtard 20 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) 5 cartridge (product),Mix insulin
11132611000001106,Actrapid 100units/ml solution for injection 10ml vials (Waymade Ltd) (product),Bolus insulin
11132811000001105,Actrapid 100units/ml solution for injection 10ml vials (Waymade Ltd) 1 vial (product),Bolus insulin
11133811000001102,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc),Intermediate insulin
11133911000001107,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc) 5 pre-filled disposable injection,Intermediate insulin
11134011000001105,Insulatard Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) (product),Intermediate insulin
11134111000001106,Insulatard Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Ltd) 5 cartridge (product),Intermediate insulin
11134711000001107,Insulatard 100units/ml suspension for injection 10ml vials (Waymade Ltd) (product),Intermediate insulin
11134911000001109,Insulatard 100units/ml suspension for injection 10ml vials (Waymade Ltd) 1 vial (product),Intermediate insulin
11135211000001104,Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges (Waymade Ltd) (product),Mix insulin
11135311000001107,Human Mixtard 10 Penfill 100units/ml suspension for injection 1.5ml cartridges (Waymade Ltd) 5 cartridge (product),Mix insulin
