REPO_PATH: code_lists/medications/blood pressure lowering/arb_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/arb_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/arb_dmd.csv
FILE_NAME: arb_dmd.csv

CONTENT_START
dmd_code,term
16263211000001105,Aprovel 75mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16263411000001109,Aprovel 75mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
17491911000001100,Aprovel 75mg tablets (Mawdsley-Brooks & Company Ltd) 30 tablet (product)
17585611000001104,Aprovel 75mg tablets (Necessity Supplies Ltd) (product)
17585911000001105,Aprovel 75mg tablets (Necessity Supplies Ltd) 28 tablet (product)
17606011000001107,Aprovel 75mg tablets (Necessity Supplies Ltd) 84 tablet (product)
10462111000001103,Aprovel 75mg tablets (PI) (Dowelhurst Ltd) (product)
10462311000001101,Aprovel 75mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
5333011000001104,Aprovel 75mg tablets (PI) (Waymade Ltd) (product)
5333111000001103,Aprovel 75mg tablets (PI) (Waymade Ltd) 28 tablet 2 x 14 tablets (product)
434511000001104,Aprovel 75mg tablets (Sanofi-Synthelabo Ltd) (product)
1630911000001104,Aprovel 75mg tablets (Sanofi-Synthelabo Ltd) 28 tablet 2 x 14 tablets (product)
14193911000001107,Aprovel 75mg tablets (Sigma Pharmaceuticals Plc) (product)
14194011000001105,Aprovel 75mg tablets (Sigma Pharmaceuticals Plc) 28 tablet (product)
19374711000001108,Aprovel 75mg tablets (Waymade Healthcare Plc) 30 tablet (product)
9000101000001105,COAPROVEL 300mg/25mg tablets (product)
10113401000001103,COZAAR 12.5mg tablets (product)
10381701000001102,COZAAR 2.5mg/mL oral suspension
9808601000001102,COZAAR-COMP 100mg/12.5mg tablets (product)
8544701000001105,Co-Diovan
9243301000001100,Co-Diovan (product)
8449701000001101,Co-Diovan 160mg/12.5mg tablet
13854511000001101,Co-Diovan 160mg/12.5mg tablets (Doncaster Pharmaceuticals Ltd) (product)
13854611000001102,Co-Diovan 160mg/12.5mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
13107711000001104,Co-Diovan 160mg/12.5mg tablets (Dowelhurst Ltd) (product)
13107811000001107,Co-Diovan 160mg/12.5mg tablets (Dowelhurst Ltd) 28 tablet (product)
16151611000001101,Co-Diovan 160mg/12.5mg tablets (Lexon (UK) Ltd) (product)
16151711000001105,Co-Diovan 160mg/12.5mg tablets (Lexon (UK) Ltd) 28 tablet (product)
16511211000001101,Co-Diovan 160mg/12.5mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16511311000001109,Co-Diovan 160mg/12.5mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
18223211000001105,Co-Diovan 160mg/12.5mg tablets (Necessity Supplies Ltd) (product)
18223411000001109,Co-Diovan 160mg/12.5mg tablets (Necessity Supplies Ltd) 28 tablet (product)
7668611000001104,Co-Diovan 160mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd) (product)
7668711000001108,Co-Diovan 160mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd) 28 tablet 2 x 14 tablets (product)
10850511000001106,Co-Diovan 160mg/12.5mg tablets (PI) (Waymade Ltd) (product)
10850611000001105,Co-Diovan 160mg/12.5mg tablets (PI) (Waymade Ltd) 28 tablet (product)
14206511000001108,Co-Diovan 160mg/12.5mg tablets (Sigma Pharmaceuticals Plc) (product)
14206611000001107,Co-Diovan 160mg/12.5mg tablets (Sigma Pharmaceuticals Plc) 28 tablet (product)
8449801000001105,Co-Diovan 160mg/25mg tablet
13854711000001106,Co-Diovan 160mg/25mg tablets (Doncaster Pharmaceuticals Ltd) (product)
13854811000001103,Co-Diovan 160mg/25mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
13107911000001102,Co-Diovan 160mg/25mg tablets (Dowelhurst Ltd) (product)
13108011000001100,Co-Diovan 160mg/25mg tablets (Dowelhurst Ltd) 28 tablet (product)
18054411000001100,Co-Diovan 160mg/25mg tablets (Lexon (UK) Ltd) (product)
18054511000001101,Co-Diovan 160mg/25mg tablets (Lexon (UK) Ltd) 28 tablet (product)
16511411000001102,Co-Diovan 160mg/25mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16511511000001103,Co-Diovan 160mg/25mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
7668911000001105,Co-Diovan 160mg/25mg tablets (Novartis Pharmaceuticals UK Ltd) (product)
7669011000001101,Co-Diovan 160mg/25mg tablets (Novartis Pharmaceuticals UK Ltd) 28 tablet 2 x 14 tablets (product)
