REPO_PATH: code_lists/medications/blood pressure lowering/acei_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/acei_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/acei_dmd.csv
FILE_NAME: acei_dmd.csv

CONTENT_START
dmd_code,term
12252011000001101,Enalapril 3mg/5ml oral solution (Special Order) (product)
12252211000001106,Enalapril 3mg/5ml oral solution (Special Order) 1 ml (product)
12252311000001103,Enalapril 40mg/5ml oral suspension 1 ml (product)
12252411000001105,Enalapril 40mg/5ml oral suspension (Special Order) (product)
12252511000001109,Enalapril 40mg/5ml oral suspension (Special Order) 1 ml (product)
12252711000001104,Enalapril 40mg/5ml oral solution 1 ml (product)
12252911000001102,Enalapril 40mg/5ml oral solution (Special Order) (product)
12253011000001105,Enalapril 40mg/5ml oral solution (Special Order) 1 ml (product)
12253211000001100,Enalapril 500micrograms/5ml oral suspension 1 ml (product)
12253311000001108,Enalapril 500micrograms/5ml oral suspension (Special Order) (product)
12253511000001102,Enalapril 500micrograms/5ml oral suspension (Special Order) 1 ml (product)
12253611000001103,Enalapril 500micrograms/5ml oral solution 1 ml (product)
12253711000001107,Enalapril 500micrograms/5ml oral solution (Special Order) (product)
12253811000001104,Enalapril 500micrograms/5ml oral solution (Special Order) 1 ml (product)
12254011000001107,Enalapril 600micrograms/5ml oral suspension 1 ml (product)
12254311000001105,Enalapril 600micrograms/5ml oral suspension (Special Order) (product)
12254511000001104,Enalapril 600micrograms/5ml oral suspension (Special Order) 1 ml (product)
12254711000001109,Enalapril 600micrograms/5ml oral solution 1 ml (product)
12254811000001101,Enalapril 600micrograms/5ml oral solution (Special Order) (product)
12254911000001106,Enalapril 600micrograms/5ml oral solution (Special Order) 1 ml (product)
12255311000001109,Enalapril 7.5mg/5ml oral suspension 1 ml (product)
12255411000001102,Enalapril 7.5mg/5ml oral suspension (Special Order) (product)
12255511000001103,Enalapril 7.5mg/5ml oral suspension (Special Order) 1 ml (product)
12255711000001108,Enalapril 7.5mg/5ml oral solution 1 ml (product)
12255911000001105,Enalapril 7.5mg/5ml oral solution (Special Order) (product)
12256011000001102,Enalapril 7.5mg/5ml oral solution (Special Order) 1 ml (product)
12256211000001107,Enalapril 7mg/5ml oral suspension 1 ml (product)
12256311000001104,Enalapril 7mg/5ml oral suspension (Special Order) (product)
12256411000001106,Enalapril 7mg/5ml oral suspension (Special Order) 1 ml (product)
12256511000001105,Enalapril 7mg/5ml oral solution 1 ml (product)
12256611000001109,Enalapril 7mg/5ml oral solution (Special Order) (product)
12256711000001100,Enalapril 7mg/5ml oral solution (Special Order) 1 ml (product)
12256811000001108,Enalapril 8mg/5ml oral suspension 1 ml (product)
12256911000001103,Enalapril 8mg/5ml oral suspension (Special Order) (product)
12257011000001104,Enalapril 8mg/5ml oral suspension (Special Order) 1 ml (product)
12257411000001108,Enalapril 8mg/5ml oral solution 1 ml (product)
12257711000001102,Enalapril 8mg/5ml oral solution (Special Order) (product)
12257911000001100,Enalapril 8mg/5ml oral solution (Special Order) 1 ml (product)
12282011000001105,Captopril 1.6mg/5ml oral solution 1 ml (product)
12282211000001100,Captopril 1.6mg/5ml oral solution (Special Order) (product)
12282411000001101,Captopril 1.6mg/5ml oral solution (Special Order) 1 ml (product)
12283111000001100,Captopril 1.75mg/5ml oral solution 1 ml (product)
12283411000001105,Captopril 1.75mg/5ml oral solution (Special Order) (product)
12283611000001108,Captopril 1.75mg/5ml oral solution (Special Order) 1 ml (product)
12291411000001107,Captopril 320 microgram/ml oral solution
12291511000001106,Captopril 350 microgram/ml oral solution
12292611000001104,Enalapril maleate 750 microgram/ml oral solution
12292711000001108,Enalapril maleate 750 microgram/ml oral suspension
12292811000001100,Enalapril maleate 600 microgram/ml oral solution
12292911000001105,Enalapril maleate 600 microgram/ml oral suspension
12293011000001102,Enalapril maleate 8 mg/ml oral solution
12293111000001101,Enalapril maleate 8 mg/ml oral suspension
12293211000001107,Enalapril maleate 100 microgram/ml oral solution
12293311000001104,Enalapril maleate 100 microgram/ml oral suspension
12293411000001106,Enalapril maleate 120 microgram/ml oral solution
12293511000001105,Enalapril maleate 120 microgram/ml oral suspension
12293611000001109,Enalapril maleate 1.5 mg/ml oral solution
12293711000001100,Enalapril maleate 1.5 mg/ml oral suspension
12293811000001108,Enalapril maleate 1.4 mg/ml oral solution
12293911000001103,Enalapril maleate 1.4 mg/ml oral suspension
12294011000001100,Enalapril maleate 1.6 mg/ml oral solution
12294111000001104,Enalapril maleate 1.6 mg/ml oral suspension
