REPO_PATH: code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv
FILE_NAME: thiazide_diuretics_dmd.csv

CONTENT_START
dmd_code,term
11010311000001100,Bendroflumethiazide 5mg tablets (Dr Reddy's Labs) 500 tablet (product)
11019711000001108,Co-amilozide 5mg/50mg tablets (Dr Reddy's Labs) (product)
11019811000001100,Co-amilozide 5mg/50mg tablets (Dr Reddy's Labs) 28 tablet (product)
110581000001108,Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets (product)
110581000001108,Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets (product)
11112201000001101,CAPOZIDE 50mg/25mg tablets
11112601000001104,OLMESARTAN+AMLODIPINE+HYDROCHLOROTHIAZIDE
11112601000001104,OLMESARTAN+AMLODIPINE+HYDROCHLOROTHIAZIDE
11112701000001109,SEVIKAR HCT 20mg/5mg/12.5mg tablets
11112801000001100,SEVIKAR HCT 40mg/5mg/12.5mg tablets
11112901000001106,SEVIKAR HCT 40mg/10mg/12.5mg tablets
11113001000001102,SEVIKAR HCT 40mg/5mg/25mg tablets
11113101000001101,SEVIKAR HCT 40mg/10mg/25mg tablets
11125601000001102,NEO-NACLEX 2.5mg tablets
11159011000001105,Co-Irbesartan 150mg/12.5mg tablets (Waymade Ltd) (product)
11159111000001106,Co-Irbesartan 150mg/12.5mg tablets (Waymade Ltd) 28 tablet (product)
11159211000001100,Co-Irbesartan 300mg/12.5mg tablets (Waymade Ltd) (product)
11159311000001108,Co-Irbesartan 300mg/12.5mg tablets (Waymade Ltd) 28 tablet (product)
111691000001102,Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets (product)
111691000001102,Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets (product)
1119411000001107,Bendroflumethiazide 2.5mg tablets 28 tablet (product)
112181000001101,Bisoprolol 10mg / Hydrochlorothiazide 6.25mg tablets
112181000001101,Bisoprolol 10mg / Hydrochlorothiazide 6.25mg tablets
112481000001106,Indapamide 2.5mg tablets
1125311000001106,Co-zidocapt 25mg/50mg tablets 28 tablet (product)
112901000001107,Tenoret 50 tablet
1130611000001106,Triamterene 50mg / Benzthiazide 25mg capsules 30 capsule (product)
1132711000001103,Co-tenidone 100mg/25mg tablets 28 tablet (product)
